[2024-07-05 21:18:14.283109]; Lat: -33.458246; Long: -70.66205; Alt: 552.328;
[2024-07-05 21:18:15.289488]; Lat: -33.458246; Long: -70.66205; Alt: 552.28;
[2024-07-05 21:18:16.295307]; Lat: -33.458246; Long: -70.66205; Alt: 552.28;
[2024-07-05 21:18:17.298560]; Lat: -33.458246; Long: -70.66205; Alt: 552.28;
[2024-07-05 21:18:18.304860]; Lat: -33.458246; Long: -70.662051; Alt: 552.497;
[2024-07-05 21:18:19.310564]; Lat: -33.458246; Long: -70.662051; Alt: 552.497;
[2024-07-05 21:18:20.314859]; Lat: -33.458246; Long: -70.662051; Alt: 552.497;
[2024-07-05 21:18:21.321120]; Lat: -33.458248; Long: -70.662051; Alt: 552.563;
[2024-07-05 21:18:22.326076]; Lat: -33.458248; Long: -70.662051; Alt: 552.563;
[2024-07-05 21:18:23.328880]; Lat: -33.458248; Long: -70.662051; Alt: 552.563;
[2024-07-05 21:18:24.334201]; Lat: -33.458248; Long: -70.662051; Alt: 552.651;
[2024-07-05 21:18:25.339933]; Lat: -33.458248; Long: -70.662051; Alt: 552.651;
[2024-07-05 21:18:26.343063]; Lat: -33.458248; Long: -70.662051; Alt: 552.651;
[2024-07-05 21:18:27.349557]; Lat: -33.458248; Long: -70.662051; Alt: 552.593;
[2024-07-05 21:18:28.355281]; Lat: -33.458248; Long: -70.662051; Alt: 552.593;
[2024-07-05 21:18:29.358457]; Lat: -33.458248; Long: -70.662051; Alt: 552.593;
[2024-07-05 21:18:30.365893]; Lat: -33.458246; Long: -70.66205; Alt: 552.357;
[2024-07-05 21:18:31.371784]; Lat: -33.458246; Long: -70.66205; Alt: 552.357;
[2024-07-05 21:18:32.374855]; Lat: -33.458246; Long: -70.66205; Alt: 552.357;
[2024-07-05 21:18:33.380987]; Lat: -33.458246; Long: -70.662046; Alt: 552.294;
[2024-07-05 21:18:34.385902]; Lat: -33.458246; Long: -70.662046; Alt: 552.294;
[2024-07-05 21:18:35.388989]; Lat: -33.458246; Long: -70.662046; Alt: 552.294;
[2024-07-05 21:18:36.395072]; Lat: -33.458248; Long: -70.662046; Alt: 552.274;
[2024-07-05 21:18:37.400675]; Lat: -33.458248; Long: -70.662046; Alt: 552.274;
[2024-07-05 21:18:38.403599]; Lat: -33.458248; Long: -70.662046; Alt: 552.274;
[2024-07-05 21:18:39.409665]; Lat: -33.458248; Long: -70.662046; Alt: 552.268;
