Magnetometer X:8.10, Y: -13.05, Z: -20.55 uT

[2024-07-08 19:22:55.506235]Acceleration: X:5.90, Y: 2.23, Z: 6.82 m/s^2
Gyro X:0.12, Y: 0.18, Z: 0.03 rads/s
Magnetometer X:7.50, Y: -10.95, Z: -24.15 uT

[2024-07-08 19:22:58.046636]Acceleration: X:6.42, Y: 1.62, Z: 7.40 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.15, Y: -7.95, Z: -24.75 uT

[2024-07-08 19:22:59.077120]Acceleration: X:6.73, Y: 1.70, Z: 6.85 m/s^2
Gyro X:0.01, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:7.35, Y: -9.15, Z: -25.80 uT

[2024-07-08 19:23:00.107437]Acceleration: X:6.51, Y: 1.67, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -9.60, Z: -26.55 uT

[2024-07-08 19:23:01.137629]Acceleration: X:6.50, Y: 1.73, Z: 7.43 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.60, Y: -7.95, Z: -25.50 uT

[2024-07-08 19:23:02.167619]Acceleration: X:6.42, Y: 1.71, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.25, Y: -9.45, Z: -25.20 uT

[2024-07-08 19:23:04.706285]Acceleration: X:6.58, Y: 1.72, Z: 7.36 m/s^2
Gyro X:-0.01, Y: 0.03, Z: 0.00 rads/s
Magnetometer X:9.90, Y: -7.95, Z: -27.30 uT

[2024-07-08 19:23:05.736807]Acceleration: X:6.47, Y: 1.66, Z: 7.38 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.90, Y: -7.20, Z: -25.80 uT

[2024-07-08 19:23:06.767165]Acceleration: X:6.44, Y: 1.73, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -7.80, Z: -27.15 uT

[2024-07-08 19:23:07.797551]Acceleration: X:6.43, Y: 1.66, Z: 7.41 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.40, Y: -7.65, Z: -25.80 uT

[2024-07-08 19:23:08.827870]Acceleration: X:6.46, Y: 1.69, Z: 7.35 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -26.25 uT

[2024-07-08 19:23:11.366329]Acceleration: X:6.44, Y: 1.61, Z: 7.41 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:9.00, Y: -9.00, Z: -25.65 uT

[2024-07-08 19:23:12.396672]Acceleration: X:6.38, Y: 1.65, Z: 7.37 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.25, Y: -7.35, Z: -26.40 uT

[2024-07-08 19:23:13.426954]Acceleration: X:6.46, Y: 1.72, Z: 7.39 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.55, Y: -9.45, Z: -26.40 uT

[2024-07-08 19:23:14.457116]Acceleration: X:6.46, Y: 1.68, Z: 7.42 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -7.35, Z: -25.95 uT

[2024-07-08 19:23:15.487458]Acceleration: X:6.46, Y: 1.67, Z: 7.33 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.85, Y: -8.40, Z: -24.75 uT

[2024-07-08 19:23:18.025388]Acceleration: X:6.46, Y: 1.69, Z: 7.38 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.85, Y: -9.60, Z: -25.80 uT

[2024-07-08 19:23:19.055682]Acceleration: X:6.50, Y: 1.67, Z: 7.35 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:10.05, Y: -8.25, Z: -25.65 uT

[2024-07-08 19:23:20.085987]Acceleration: X:6.51, Y: 1.71, Z: 7.43 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.85, Y: -8.40, Z: -25.05 uT

[2024-07-08 19:23:21.116210]Acceleration: X:6.48, Y: 1.64, Z: 7.38 m/s^2
Gyro X:-0.00, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -9.00, Z: -25.65 uT

[2024-07-08 19:23:22.146557]Acceleration: X:6.49, Y: 1.68, Z: 7.39 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.55, Y: -8.55, Z: -24.90 uT

[2024-07-08 19:23:24.685519]Acceleration: X:6.48, Y: 1.68, Z: 7.41 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.75, Y: -8.55, Z: -25.95 uT

[2024-07-08 19:23:25.716240]Acceleration: X:6.46, Y: 1.66, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.40, Y: -8.40, Z: -25.50 uT

[2024-07-08 19:23:26.746085]Acceleration: X:6.54, Y: 1.72, Z: 7.40 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -25.80 uT

[2024-07-08 19:23:27.775930]Acceleration: X:6.47, Y: 1.71, Z: 7.35 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:10.05, Y: -8.25, Z: -25.95 uT

[2024-07-08 19:23:28.806545]Acceleration: X:6.43, Y: 1.71, Z: 7.37 m/s^2
Gyro X:0.01, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.85, Y: -8.85, Z: -26.55 uT

[2024-07-08 19:23:31.345136]Acceleration: X:6.51, Y: 1.68, Z: 7.37 m/s^2
